priority_rank,priority_group,url,page_type,material,grade,form,city,country,reason,linked_from,sitemap_present,http_status,canonical_status,indexing_action
1,core discovery,https://rubinoxmetal.com/,homepage,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
2,core discovery,https://rubinoxmetal.com/material-location.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
3,core discovery,https://rubinoxmetal.com/export-material.html,site-page,,,,,,"Core site discovery, RFQ or support page",export-material.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
4,core discovery,https://rubinoxmetal.com/hss-location.html,site-page,,,,,,"Core site discovery, RFQ or support page",hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
5,core discovery,https://rubinoxmetal.com/materials.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
6,core discovery,https://rubinoxmetal.com/grades.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
7,core discovery,https://rubinoxmetal.com/product-forms.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
8,core discovery,https://rubinoxmetal.com/quotation.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
9,core discovery,https://rubinoxmetal.com/contact.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
10,core discovery,https://rubinoxmetal.com/quality-documentation-support.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
11,core discovery,https://rubinoxmetal.com/technical-resources.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
12,core discovery,https://rubinoxmetal.com/blog.html,site-page,,,,,,"Core site discovery, RFQ or support page",material-location.html|export-material.html|hss-location.html,true,200,self_referencing,inspect_or_monitor_priority_group_not_bulk_manual_submission
