priority_rank,proposed_url,reason_not_created,next_action
241,/material-location/ss-304-sheets-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
242,/material-location/ss-304-round-bars-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
243,/material-location/ss-304-welded-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
244,/material-location/ss-304-seamless-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
245,/material-location/ss-304-tubes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
246,/material-location/ss-316-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
247,/material-location/ss-316-sheets-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
248,/material-location/ss-316-plates-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
249,/material-location/ss-316-round-bars-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
250,/material-location/ss-316-welded-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
251,/material-location/ss-316-seamless-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
252,/material-location/ss-316-tubes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
253,/material-location/ss-316-flanges-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
254,/material-location/ss-316-fittings-mumbai.html,Existing page or close equivalent already covers this intent.,Do not create unless intent changes materially.
255,/material-location/ss-304-sheets-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
256,/material-location/ss-304-round-bars-pune.html,Existing page or close equivalent already covers this intent.,Do not create unless intent changes materially.
257,/material-location/ss-304-welded-pipes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
258,/material-location/ss-304-seamless-pipes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
259,/material-location/ss-304-tubes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
260,/material-location/ss-316l-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
261,/material-location/ss-316l-sheets-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
262,/material-location/ss-316l-plates-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
263,/material-location/ss-316l-round-bars-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
264,/material-location/ss-316l-welded-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
265,/material-location/ss-316l-seamless-pipes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
266,/material-location/ss-316l-tubes-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
267,/material-location/ss-316l-flanges-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
268,/material-location/ss-316l-fittings-mumbai.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
269,/material-location/ss-316-pipes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
270,/material-location/ss-316-sheets-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
271,/material-location/ss-316-plates-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
272,/material-location/ss-316-round-bars-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
273,/material-location/ss-316-welded-pipes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
274,/material-location/ss-316-seamless-pipes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
275,/material-location/ss-316-tubes-pune.html,Held for a future controlled batch after D11C owner review.,Review for D11D or later expansion.
