url,file_path,page_type,h1,title,description,material,grade,form,city,state,country,canonical,schema_types,notes
https://rubinoxmetal.com/,index.html,homepage,"Stainless Steel Supplier, Stockist & Exporter in Mumbai, India | Nickel Alloy & Duplex Metals","Stainless Steel Supplier in Mumbai, India | Rubinox","Rubinox is a Mumbai stockist and supplier of stainless steel, nickel alloys, duplex, titanium and industrial metals across India and worldwide.",Stainless Steel | Duplex & Super Duplex | Nickel Alloys | Titanium,,,,,,https://rubinoxmetal.com/,Organization | LocalBusiness | WebSite | WebPage | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/about-us.html,about-us.html,company page,About Rubinox Metal and Alloys,About Rubinox Metal and Alloys | Industrial Metal Supplier in India,"Learn about Rubinox Metal and Alloys, a Mumbai-based stockist, supplier, importer, exporter and project supplier for stainless steel, nickel alloys and industrial metals.",Stainless Steel | Nickel Alloys,,,,,,https://rubinoxmetal.com/about-us.html,WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/industries.html,industries.html,industry hub,Industries We Serve,Industries We Serve | Industrial Metal Supplier | Rubinox,"Metals for oil and gas, chemical, marine, power, fabrication and infrastructure projects. PAN India supply, export support and fast quotations.",,,,,,,https://rubinoxmetal.com/industries.html,WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/quotation.html,quotation.html,RFQ page,Request an Industrial Metal Quotation,Request Metal Quotation | Industrial Metals RFQ | Rubinox,"Send an RFQ to Rubinox for stainless steel, nickel alloys, duplex, titanium and industrial metals. Share grade, form, size, quantity, standard, documentation and delivery details.",Stainless Steel | Duplex & Super Duplex | Nickel Alloys | Titanium,,,,,,https://rubinoxmetal.com/quotation.html,WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/contact.html,contact.html,contact page,Contact Rubinox Metal and Alloys,"Contact Rubinox Metal and Alloys | Metal Supplier in Mumbai, India","Contact Rubinox Metal and Alloys in Mumbai for stainless steel, nickel alloys, duplex, titanium, SMO 254 and industrial metal RFQs with PAN India and export enquiry support.",Stainless Steel | Duplex & Super Duplex | Nickel Alloys | Titanium | SMO 254,,,,,,https://rubinoxmetal.com/contact.html,ContactPage | WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/locations.html,locations.html,supporting page,PAN India Metal Supply Locations,PAN India Metal Supply Locations | Rubinox Metal and Alloys,"Rubinox Metal and Alloys supports PAN India RFQs for stainless steel, duplex, nickel alloys, titanium, SMO 254, aluminium, copper, brass, carbon steel, mild steel and industrial metal products.",Stainless Steel | Duplex & Super Duplex | Nickel Alloys | Carbon Steel | Mild Steel | Aluminium | Copper | Brass | Titanium | SMO 254,,,,,,https://rubinoxmetal.com/locations.html,WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/export.html,export.html,supporting page,Metal Export Enquiry Support from India,Metal Export Enquiry Support from India | Rubinox Metal and Alloys,"Rubinox Metal and Alloys supports export RFQs from India for stainless steel, duplex, nickel alloys, titanium, SMO 254, aluminium, copper, brass, carbon steel, mild steel and industrial metal products.",Stainless Steel | Duplex & Super Duplex | Nickel Alloys | Carbon Steel | Mild Steel | Aluminium | Copper | Brass | Titanium | SMO 254,,,,,,https://rubinoxmetal.com/export.html,WebPage | BreadcrumbList | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/materials/stainless-steel.html,materials/stainless-steel.html,material family page,Stainless Steel Supplier in India,Stainless Steel Supplier in India | Grades & Forms | Rubinox,"Stainless steel supplier for 200, 300 and 400 series, duplex, PH and specialty grades in pipes, plates, sheets, coils, bars and fittings.",Stainless Steel | Duplex & Super Duplex,,pipes | sheets | plates | coils | bars | fittings,,,,https://rubinoxmetal.com/materials/stainless-steel.html,WebPage | BreadcrumbList | Product | FAQPage,Existing public page in sitemap.
https://rubinoxmetal.com/materials/stainless-steel-supplier-mumbai.html,materials/stainless-steel-supplier-mumbai.html,material family page,"Stainless Steel Supplier, Dealer & Stockist in Mumbai",Stainless Steel Supplier Mumbai | SS 304 & 316 | Rubinox,"Mumbai stainless steel stockist supplying SS 304, 316 and 316L pipes, sheets, plates, coils, bars, flanges and fittings across India.",Stainless Steel,SS 304,pipes | sheets | plates | coils | bars | flanges | fittings,,,,https://rubinoxmetal.com/materials/stainless-steel-supplier-mumbai.html,WebPage | BreadcrumbList | Product,Existing public page in sitemap.
https://rubinoxmetal.com/materials/ss-201-supplier-india.html,materials/ss-201-supplier-india.html,grade/material detail page,SS 201 Supplier in India,SS 201 Supplier in India | Rubinox,"Rubinox supplies SS 201 stainless steel sheets, coils, plates, strips, pipes, tubes across India, with export support, MTC documentation and fast quotations.",Stainless Steel,SS 201,pipes | tubes | sheets | plates | coils,,,,https://rubinoxmetal.com/materials/ss-201-supplier-india.html,WebPage | BreadcrumbList | Product,Existing public page in sitemap.
