metric,baseline_date,baseline_value,day_7_value,day_14_value,day_30_value,target_or_expected_direction,source,action_threshold,notes
sitemap submitted,2026-07-23,OWNER TO ENTER,,,,submitted and accepted,Google Search Console / Bing Webmaster Tools,Not submitted within launch-monitoring window,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
sitemap status,2026-07-23,OWNER TO ENTER,,,,Success / accepted,Google Search Console / Bing Webmaster Tools,Could not fetch sitemap or parsing error,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
sitemap discovered URLs,2026-07-23,OWNER TO ENTER,,,,Trend toward 634 discovered URLs,Google Search Console / Bing Webmaster Tools,Materially below 634 after normal processing window,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
Google indexed pages,2026-07-23,OWNER TO ENTER,,,,Increase over 30 days,Google Search Console Page Indexing,Priority hubs or key pages blocked by technical reason,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
Bing indexed pages,2026-07-23,OWNER TO ENTER,,,,Increase over 30 days,Bing Webmaster Tools,Priority hubs or key pages blocked by technical reason,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
crawled currently not indexed,2026-07-23,OWNER TO ENTER,,,,Understand reasons; reduce only when issue is clear,Google Search Console,Important priority pages persist here with clear fixable reason,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
discovered currently not indexed,2026-07-23,OWNER TO ENTER,,,,Decrease gradually as crawl progresses,Google Search Console,High-priority hubs remain unvisited after reasonable period,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
duplicate without user-selected canonical,2026-07-23,OWNER TO ENTER,,,,0 or only explainable canonical cases,Google Search Console,Generated pages show wrong canonical cluster,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
alternate page with proper canonical,2026-07-23,OWNER TO ENTER,,,,No unexpected growth,Google Search Console,Self-canonical pages grouped incorrectly,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
server errors,2026-07-23,0 observed in D13A endpoint check,,,,0,Live endpoint check / Search Console,Any persistent 5xx on public pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
not found errors,2026-07-23,0 observed in D12C full live audit,,,,0 unexpected public URL errors,Search Console / live audit,Important sitemap URL returns 404/410,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
total impressions,2026-07-23,OWNER TO ENTER,,,,Increase over 30 days,Google Search Console Performance,No movement after indexing is established,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
total clicks,2026-07-23,OWNER TO ENTER,,,,Increase over 30 days,Google Search Console Performance,High impressions with no clicks on priority pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
average CTR,2026-07-23,OWNER TO ENTER,,,,Improve for high-impression queries,Google Search Console Performance,High impressions and low CTR on stable indexed pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
average position,2026-07-23,OWNER TO ENTER,,,,"Track trends, not daily fluctuations",Google Search Console Performance,Priority query stuck positions 8-20 with low CTR,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
branded queries,2026-07-23,OWNER TO ENTER,,,,Visible and stable,Google Search Console Performance,Brand queries absent after indexing period,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
Stainless Steel queries,2026-07-23,OWNER TO ENTER,,,,Grow over 30 days,Google Search Console Performance,No impressions on indexed priority pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
Nickel Alloy queries,2026-07-23,OWNER TO ENTER,,,,Grow over 30 days,Google Search Console Performance,No impressions on indexed priority pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
Duplex/Super Duplex queries,2026-07-23,OWNER TO ENTER,,,,Grow over 30 days,Google Search Console Performance,No impressions on indexed priority pages,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
city-based queries,2026-07-23,OWNER TO ENTER,,,,Grow as location pages are discovered,Google Search Console Performance,Priority city pages not discovered or indexed,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
export queries,2026-07-23,OWNER TO ENTER,,,,Grow as export pages are discovered,Google Search Console Performance / Bing,Priority export pages not discovered or indexed,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
quotation-page visits,2026-07-23,OWNER TO ENTER,,,,Increase with qualified traffic,GA4,Traffic grows but RFQ visits do not,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
contact-page visits,2026-07-23,OWNER TO ENTER,,,,Increase with qualified traffic,GA4,Traffic grows but contact visits do not,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
WhatsApp CTA clicks if tracked,2026-07-23,OWNER TO ENTER,,,,Track once event reporting is confirmed,GA4 events,High traffic but no CTA events,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
email CTA clicks if tracked,2026-07-23,OWNER TO ENTER,,,,Track once event reporting is confirmed,GA4 events,High traffic but no CTA events,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
call CTA clicks if tracked,2026-07-23,OWNER TO ENTER,,,,Track once event reporting is confirmed,GA4 events,High traffic but no CTA events,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
organic sessions in GA4,2026-07-23,OWNER TO ENTER,,,,Increase over 30 days,GA4 traffic acquisition,No organic sessions after indexing begins,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
organic enquiries if measurable,2026-07-23,OWNER TO ENTER,,,,Qualified enquiries should trend upward,GA4 / CRM / owner tracking,Traffic grows but enquiries do not,"Owner to enter Search Console, Bing or GA4 values where authenticated access is required."
