priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,create_in_d12b,notes
1,High,india_city,material-location,Stainless Steel,SS 316L,fittings,Chennai,Tamil Nadu,,/material-location/ss-316l-fittings-chennai.html,SS 316L Fittings Supplier in Chennai,SS 316L fittings supplier in Chennai,RFQ-led material + grade + form + destination sourcing page,Chennai buyer intent for stainless fittings RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
2,High,india_city,material-location,Stainless Steel,SS 316,flanges,Hyderabad,Telangana,,/material-location/ss-316-flanges-hyderabad.html,SS 316 Flanges Supplier in Hyderabad,SS 316 flanges supplier in Hyderabad,RFQ-led material + grade + form + destination sourcing page,Hyderabad buyer intent for stainless flanges RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
3,High,india_city,material-location,Stainless Steel,SS 304,coils,Mumbai,Maharashtra,,/material-location/ss-304-coils-mumbai.html,SS 304 Coils Supplier in Mumbai,SS 304 coils supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless coils RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
4,High,india_city,material-location,Stainless Steel,SS 304,sheets,Mumbai,Maharashtra,,/material-location/ss-304-sheets-mumbai.html,SS 304 Sheets Supplier in Mumbai,SS 304 sheets supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless sheets RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
5,High,india_city,material-location,Stainless Steel,SS 316,pipes,Mumbai,Maharashtra,,/material-location/ss-316-pipes-mumbai.html,SS 316 Pipes Supplier in Mumbai,SS 316 pipes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
6,High,india_city,material-location,Stainless Steel,SS 316L,pipes,Pune,Maharashtra,,/material-location/ss-316l-pipes-pune.html,SS 316L Pipes Supplier in Pune,SS 316L pipes supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless pipes RFQs and documentation-led sourcing.,/materials/ss-316l-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
7,High,india_city,material-location,Stainless Steel,SS 304,welded pipes,Mumbai,Maharashtra,,/material-location/ss-304-welded-pipes-mumbai.html,SS 304 Welded Pipes Supplier in Mumbai,SS 304 welded pipes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless welded pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
8,High,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Mumbai,Maharashtra,,/material-location/ss-304-seamless-pipes-mumbai.html,SS 304 Seamless Pipes Supplier in Mumbai,SS 304 seamless pipes supplier in Mumbai,RFQ-led material + grade + form + destination sourcing page,Mumbai buyer intent for stainless seamless pipes RFQs and documentation-led sourcing.,/materials/ss-304-supplier-india.html,Low,96,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
9,High,india_city,material-location,Stainless Steel,SS 310,plates,Pune,Maharashtra,,/material-location/ss-310-plates-pune.html,SS 310 Plates Supplier in Pune,SS 310 plates supplier in Pune,RFQ-led material + grade + form + destination sourcing page,Pune buyer intent for stainless plates RFQs and documentation-led sourcing.,/materials/ss-310-supplier-india.html,Low,93,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
10,Medium,india_city,material-location,Stainless Steel,SS 410,round bars,Rajkot,Gujarat,,/material-location/ss-410-round-bars-rajkot.html,SS 410 Round Bars Supplier in Rajkot,SS 410 round bars supplier in Rajkot,RFQ-led material + grade + form + destination sourcing page,Rajkot buyer intent for stainless round bars RFQs and documentation-led sourcing.,/materials/ss-410-supplier-india.html,Low,85,/material-location.html; /materials.html; /locations.html; /quotation.html,/material-location.html; /materials.html; /locations.html; /quality-documentation-support.html; /technical-resources.html; /quotation.html; /contact.html,yes_if_owner_approves,"Final-batch candidate; create only with unique copy, visible FAQs, RFQ checklist, safe role wording and no duplicate footer/nav links."
