country,region,primary_material_focus,secondary_material_focus,forms_to_prioritize,industry_basis,existing_export_page,proposed_page_type,risk_notes,priority
UAE,Middle East / GCC,Stainless Steel,Duplex & Super Duplex | Nickel Alloys | Aluminium,"pipes, plates, sheets, flanges, fittings, aluminium sheets","oil and gas, marine, process equipment, infrastructure and fabrication",yes: /export/uae.html,export combo pages,Existing country page; build material/form/country pages only.,High
Saudi Arabia,Middle East / GCC,Duplex & Super Duplex,Nickel Alloys | Stainless Steel | Aluminium,"pipes, plates, flanges, fittings, fasteners","oil and gas, seawater service, infrastructure, process projects",yes: /export/saudi-arabia.html,export combo pages,Existing country page; avoid any delivery promise.,High
Qatar,Middle East / GCC,Duplex & Super Duplex,Stainless Steel | Nickel Alloys,"pipes, fittings, flanges, plates","oil and gas, marine, desalination and infrastructure",yes: /export/qatar.html,export combo pages,Existing country page; keep content RFQ-led.,High
Oman,Middle East / GCC,Duplex & Super Duplex,Stainless Steel | Nickel Alloys,"pipes, fittings, plates, flanges","marine, oil and gas, process industries",yes: /export/oman.html,export combo pages,Existing country page; medium-high opportunity.,Medium
Kuwait,Middle East / GCC,Nickel Alloys,Duplex & Super Duplex | Stainless Steel,"flanges, fittings, pipes, fasteners",oil and gas and process projects,yes: /export/kuwait.html,export combo pages,Existing country page; avoid approval claims.,Medium
Bahrain,Middle East / GCC,Stainless Steel,Duplex & Super Duplex | Aluminium,"sheets, plates, pipes, fittings","industrial projects, marine and infrastructure",yes: /export/bahrain.html,export combo pages,"Existing country page; smaller market, choose focused combos.",Medium
Singapore,Asia / ASEAN,Nickel Alloys,Stainless Steel | Copper | Duplex & Super Duplex,"sheets, tubes, pipes, fittings, copper tubes","marine, process, precision engineering and regional trade",yes: /export/singapore.html,export combo pages,Existing country page; high for nickel and copper tube content.,High
Malaysia,Asia / ASEAN,Stainless Steel,Nickel Alloys | Aluminium | Copper,"pipes, sheets, plates, fittings, aluminium sheets","process equipment, electrical and construction supply",yes: /export/malaysia.html,export combo pages,Existing country page; medium-high.,Medium
Indonesia,Asia / ASEAN,Stainless Steel,Nickel Alloys | Duplex & Super Duplex,"pipes, plates, fittings, flanges","process, marine, infrastructure and energy projects",no existing export page,new export country hub plus later combo pages,No existing export page; build only after stronger existing-country combos.,Medium
Thailand,Asia / ASEAN,Stainless Steel,Aluminium | Copper | Nickel Alloys,"sheets, plates, rods, tubes","auto, electrical, process and fabrication demand",yes: /export/thailand.html,export combo pages,Existing country page; use combo pages.,Medium
Vietnam,Asia / ASEAN,Stainless Steel,Aluminium | Copper | Duplex & Super Duplex,"pipes, sheets, plates, fittings","industrial expansion, infrastructure and process supply",yes: /export/vietnam.html,export combo pages,Existing country page; medium-high.,Medium
Philippines,Asia / ASEAN,Stainless Steel,Aluminium | Copper,"sheets, plates, tubes, fittings","infrastructure, marine and commercial fabrication",no existing export page,new export country hub plus later combo pages,No existing export page; medium after ASEAN first set.,Medium
South Korea,East Asia,Nickel Alloys,Stainless Steel | Copper,"rods, sheets, plates, tubes","engineering, marine, electrical and high-spec procurement",no existing export page,new export country hub plus later combo pages,No existing page; high-value but content must be careful.,Medium
Japan,East Asia,Nickel Alloys,Stainless Steel | Copper | Aluminium,"bars, sheets, tubes, plates","precision engineering, marine and process equipment",no existing export page,new export country hub plus later combo pages,"No existing page; high quality expectations, avoid broad page.",Medium
