template_name,page_family,required_sections,required_schema,required_ctas,required_internal_links,design_notes,seo_notes,claim_safety_notes,status
Homepage,Home,hero; buyer path; materials; product forms; industries; documentation; contact/RFQ,Organization; WebSite; WebPage,WhatsApp; email; phone; quotation,materials; product forms; grades; technical resources; quotation,Preserve sticky header and hero hierarchy,Keep H1/meta/canonical unchanged unless approved,"No manufacturer, stock, price or fake proof claims",active
City page,Location pages,city intro; buyer RFQ needs; materials/forms; industries; FAQ; CTA,WebPage; BreadcrumbList; FAQPage only if visible,WhatsApp; email; quotation,location hub; materials; product forms; quotation,Differentiate modules without implying a branch,Map one city intent per page,No local office/warehouse/stockyard claims,planned
State page,Location pages,state industrial context; city links; materials/forms; RFQ checklist,WebPage; BreadcrumbList; FAQPage if visible,WhatsApp; email; quotation,city pages; materials; quotation,Use restrained hub layout,Create only after Search Console data,No state warehouse or delivery guarantees,planned
Country/export page,Export pages,export enquiry intro; documents; packaging; materials/forms; FAQ; CTA,WebPage; BreadcrumbList; FAQPage if visible,WhatsApp; email; export RFQ,export hub; materials; quotation,Use export/world visual only if accurate,Use exporter-from-India language,No fake country approvals or clients,active/planned
Product-city page,Location/product,city buyer need; product form; grades; standards; RFQ checklist,WebPage; BreadcrumbList; FAQPage if visible,WhatsApp; email; quotation,city; product form; grade; quotation,Only build from proven intent,Avoid doorway duplication,No local ready-stock claim,candidate
Grade page,Grade / specification pages,grade intro; forms; standards; applications; documents; FAQ; RFQ,WebPage; BreadcrumbList; Product without offers if appropriate,WhatsApp; email; quotation,material family; product forms; related grades; technical resources,Use pilot rhythm before broad rollout,One grade intent per page,No availability/pricing/certification drift,active
Specification page,Grade / specification pages,spec intro; forms; equivalent standards; applications; documents; RFQ,WebPage; BreadcrumbList; Product without offers if appropriate,WhatsApp; email; quotation,technical resources; material family; related specs,Keep tables readable,Target spec supplier intent,No technical claims without source confidence,active
Material family page,Material family pages,family overview; grades; forms; applications; documents; related pages,WebPage; BreadcrumbList,WhatsApp; email; quotation,grade pages; product forms; technical resources,Family-specific visuals later,Avoid cannibalizing grade pages,No broad stock promises,active
Product form page,Product form pages,form overview; grades; sizes/specs; industries; documents; RFQ,WebPage; BreadcrumbList; Product without offers if appropriate,WhatsApp; email; quotation,grades; materials; technical resources,Form-specific hierarchy and icons,Target product form supplier intent,No manufacturing claim,active
Technical resource page,Technical / documentation,answer blocks; tables; notes; FAQ; RFQ handoff,WebPage; BreadcrumbList; FAQPage if visible,quotation; email; PDF if present,grade/spec pages; quotation; Knowledge Hub,Real HTML tables with mobile scroll affordance,Target chart/calculator/query intent,No false standards/certificate claims,active
Price factor page,Price factor pages,factor summary; variables; RFQ checklist; FAQ; CTA,WebPage; BreadcrumbList; FAQPage if visible,WhatsApp; email; quotation,quotation; materials; technical resources,Keep concise and trustworthy,No fixed price lists,No live-price or lowest-price claims,active
Knowledge Hub article,Knowledge Hub,answer-first intro; TOC; sections; tables; editorial note; related links; CTA,BlogPosting; BreadcrumbList; FAQPage if visible,quotation; related guides,materials; specs; quotation; technical resources,"Batch 7 index filters, card CTAs and article meta/TOC pattern active",Cluster by topic and buyer intent; keep existing URLs crawlable,No fake author credentials,active
Company/trust page,Company / trust,profile; verified data; documents; links; CTA,WebPage; Organization/ProfilePage where appropriate,WhatsApp; email; company profile PDF,about; contact; registrations; quotation,Use real assets only,Support E-E-A-T without fake proof,No fake certificates/clients/projects,active
RFQ page,RFQ page,RFQ form; required fields; WhatsApp/email handoff; document notes,WebPage; BreadcrumbList; FAQPage if visible,form; WhatsApp; email; phone,technical resources; materials; contact,Conversion-first but simple,Track after GA4 confirmation,No guaranteed response/delivery claims,active
Contact page,Contact page,address; phone; WhatsApp; email; hours if verified; map/contact CTA,WebPage; BreadcrumbList; LocalBusiness only for real address context,WhatsApp; email; phone; quotation,quotation; company; locations,Add office images after approval,Keep NAP consistent,No extra offices or warehouses,active
Keyword matrix planning record,Keyword architecture,keyword; entity fields; intent; search type; priority; primary URL; risk; status; notes,none,none,primary URL; secondary URL,Data-only control record,One primary URL per keyword to prevent cannibalization,Dealer terms remain search intent only; public pages use supplier/stockist wording,active
Location SEO planning record,Location architecture,location; relevance; priority; planned page; existing page; safe claims; unsafe claims; status,none,none,planned primary page; relevant material/form pages,Data-only location control record,Do not create pages until demand and differentiated value are confirmed,"No fake local offices, local inventory, branches, warehouses or guaranteed timelines",active
