priority_rank,page_type,folder,material,grade,form,city,state,country,url,canonical,h1,target_keyword,bucket,status,created_in_batch,notes
1,india_city,material-location,Stainless Steel,SS 316L,fittings,Chennai,Tamil Nadu,,/material-location/ss-316l-fittings-chennai.html,https://rubinoxmetal.com/material-location/ss-316l-fittings-chennai.html,SS 316L Fittings Supplier in Chennai,SS 316L fittings supplier in Chennai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
2,india_city,material-location,Stainless Steel,SS 316,flanges,Hyderabad,Telangana,,/material-location/ss-316-flanges-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316-flanges-hyderabad.html,SS 316 Flanges Supplier in Hyderabad,SS 316 flanges supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
3,india_city,material-location,Stainless Steel,SS 304,coils,Mumbai,Maharashtra,,/material-location/ss-304-coils-mumbai.html,https://rubinoxmetal.com/material-location/ss-304-coils-mumbai.html,SS 304 Coils Supplier in Mumbai,SS 304 coils supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
4,india_city,material-location,Stainless Steel,SS 304,sheets,Mumbai,Maharashtra,,/material-location/ss-304-sheets-mumbai.html,https://rubinoxmetal.com/material-location/ss-304-sheets-mumbai.html,SS 304 Sheets Supplier in Mumbai,SS 304 sheets supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
5,india_city,material-location,Stainless Steel,SS 316,pipes,Mumbai,Maharashtra,,/material-location/ss-316-pipes-mumbai.html,https://rubinoxmetal.com/material-location/ss-316-pipes-mumbai.html,SS 316 Pipes Supplier in Mumbai,SS 316 pipes supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
6,india_city,material-location,Stainless Steel,SS 316L,pipes,Pune,Maharashtra,,/material-location/ss-316l-pipes-pune.html,https://rubinoxmetal.com/material-location/ss-316l-pipes-pune.html,SS 316L Pipes Supplier in Pune,SS 316L pipes supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
7,india_city,material-location,Stainless Steel,SS 304,welded pipes,Mumbai,Maharashtra,,/material-location/ss-304-welded-pipes-mumbai.html,https://rubinoxmetal.com/material-location/ss-304-welded-pipes-mumbai.html,SS 304 Welded Pipes Supplier in Mumbai,SS 304 welded pipes supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
8,india_city,material-location,Stainless Steel,SS 304,seamless pipes,Mumbai,Maharashtra,,/material-location/ss-304-seamless-pipes-mumbai.html,https://rubinoxmetal.com/material-location/ss-304-seamless-pipes-mumbai.html,SS 304 Seamless Pipes Supplier in Mumbai,SS 304 seamless pipes supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
9,india_city,material-location,Stainless Steel,SS 310,plates,Pune,Maharashtra,,/material-location/ss-310-plates-pune.html,https://rubinoxmetal.com/material-location/ss-310-plates-pune.html,SS 310 Plates Supplier in Pune,SS 310 plates supplier in Pune,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
10,india_city,material-location,Stainless Steel,SS 410,round bars,Rajkot,Gujarat,,/material-location/ss-410-round-bars-rajkot.html,https://rubinoxmetal.com/material-location/ss-410-round-bars-rajkot.html,SS 410 Round Bars Supplier in Rajkot,SS 410 round bars supplier in Rajkot,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
11,india_city,material-location,Stainless Steel,SS 430,sheets,Delhi,Delhi NCR,,/material-location/ss-430-sheets-delhi.html,https://rubinoxmetal.com/material-location/ss-430-sheets-delhi.html,SS 430 Sheets Supplier in Delhi,SS 430 sheets supplier in Delhi,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
12,india_city,material-location,Stainless Steel,SS 304,perforated sheets,Ahmedabad,Gujarat,,/material-location/ss-304-perforated-sheets-ahmedabad.html,https://rubinoxmetal.com/material-location/ss-304-perforated-sheets-ahmedabad.html,SS 304 Perforated Sheets Supplier in Ahmedabad,SS 304 perforated sheets supplier in Ahmedabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
13,india_city,material-location,Stainless Steel,SS 316,wire mesh,Bengaluru,Karnataka,,/material-location/ss-316-wire-mesh-bengaluru.html,https://rubinoxmetal.com/material-location/ss-316-wire-mesh-bengaluru.html,SS 316 Wire Mesh Supplier in Bengaluru,SS 316 wire mesh supplier in Bengaluru,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
14,india_city,material-location,Stainless Steel,SS 304L,sheets,Mumbai,Maharashtra,,/material-location/ss-304l-sheets-mumbai.html,https://rubinoxmetal.com/material-location/ss-304l-sheets-mumbai.html,SS 304L Sheets Supplier in Mumbai,SS 304L sheets supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
15,india_city,material-location,Stainless Steel,SS 316,plates,Mumbai,Maharashtra,,/material-location/ss-316-plates-mumbai.html,https://rubinoxmetal.com/material-location/ss-316-plates-mumbai.html,SS 316 Plates Supplier in Mumbai,SS 316 plates supplier in Mumbai,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
