priority_rank,priority_group,url,page_type,material,grade,form,city,country,reason,hub_linked_from,sitemap_present,live_http_status,canonical_status,gsc_manual_inspection,gsc_index_status,gsc_last_crawl,gsc_page_indexing_reason,bing_status,impressions_day_7,clicks_day_7,avg_position_day_7,impressions_day_14,clicks_day_14,avg_position_day_14,impressions_day_30,clicks_day_30,avg_position_day_30,action_required,notes
1,Priority 1 - core search discovery,https://rubinoxmetal.com/,homepage,,,,,,Homepage and primary domain entry point.,site navigation,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
2,Priority 1 - core search discovery,https://rubinoxmetal.com/quotation.html,rfq,,,,,,Primary RFQ conversion page.,header/footer/CTA paths,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
3,Priority 1 - core search discovery,https://rubinoxmetal.com/contact.html,contact,,,,,,Primary contact conversion page.,header/footer/CTA paths,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
4,Priority 1 - core search discovery,https://rubinoxmetal.com/company-profile.html,company,,,,,,Business identity and trust page.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
5,Priority 1 - core search discovery,https://rubinoxmetal.com/material-location.html,hub,,,,,,Main material-location discovery hub.,homepage/footer/internal links,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
6,Priority 1 - core search discovery,https://rubinoxmetal.com/export-material.html,hub,,,,,,Main export-material discovery hub.,homepage/footer/internal links,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
7,Priority 1 - core search discovery,https://rubinoxmetal.com/hss-location.html,hub,,,,,,High Speed Steel discovery hub.,homepage/footer/internal links,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
8,Priority 1 - core search discovery,https://rubinoxmetal.com/materials.html,hub,,,,,,Primary materials hub.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
9,Priority 1 - core search discovery,https://rubinoxmetal.com/product-forms.html,hub,,,,,,Primary product forms hub.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
10,Priority 1 - core search discovery,https://rubinoxmetal.com/locations.html,hub,,,,,,PAN India location discovery hub.,site navigation/footer,true,200,self_referencing,inspect in GSC priority sample,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,OWNER TO ENTER,none until GSC/Bing data is entered,Do not request indexing in bulk.
