city,state,industrial_cluster_type,primary_material_focus,secondary_material_focus,forms_to_prioritize,grade_examples,existing_location_page,proposed_page_type,risk_notes,priority
Mumbai,Maharashtra,"port, engineering, process equipment and project-buying hub",Stainless Steel,Nickel Alloys | Duplex & Super Duplex | Carbon Steel,"pipes, sheets, plates, fittings, flanges, wire mesh","SS 304, SS 316, SS 316L, Monel 400, Duplex 2205",yes: /locations/mumbai.html,city combo pages,Existing city hub; avoid another broad Mumbai supplier page.,High
Navi Mumbai,Maharashtra,port-adjacent industrial and logistics belt,Stainless Steel,Duplex & Super Duplex | Carbon Steel,"pipes, plates, coils, flanges","SS 304, SS 316L, Duplex 2205",yes: /locations/navi-mumbai.html,city combo pages,Use combo intent to avoid overlap with Mumbai.,Medium
Thane,Maharashtra,"chemical, pharma and fabrication belt",Stainless Steel,Nickel Alloys | Duplex & Super Duplex,"pipes, sheets, fittings, flanges","SS 316L, Hastelloy C276, Duplex 2205",yes: /locations/thane.html,city combo pages,"Strong for process-industry content, but keep separate from Mumbai.",High
Pune,Maharashtra,"auto, engineering and machine-tool belt",Stainless Steel,High Speed Steel | Nickel Alloys,"round bars, rods, plates, fittings","SS 304, SS 316L, HSS M35, Duplex 2205",yes: /locations/pune.html,city combo pages,Excellent HSS and SS bar intent; existing city page gives partial support.,High
Chakan,Maharashtra,auto and engineering cluster,Stainless Steel,High Speed Steel | Carbon Steel,"round bars, rods, sheets, plates","SS 304, HSS M35, Carbon Steel",partial: /locations/chakan-pimpri-chinchwad.html,combo pages under existing cluster page,Covered by Chakan/PCMC page; avoid a separate thin city page.,High
Pimpri-Chinchwad / PCMC,Maharashtra,engineering and auto component belt,Stainless Steel,High Speed Steel | Carbon Steel,"round bars, fasteners, fittings, sheets","SS 304, SS 316, HSS M2",no existing city page,combo pages under existing cluster page,Covered by Chakan/PCMC page.,High
Nashik,Maharashtra,"engineering, electrical and industrial supply cluster",Stainless Steel,Carbon Steel | Aluminium,"sheets, plates, pipes, rods","SS 304, SS 316L, Aluminium 6061",yes: /locations/nashik.html,city combo pages,Good medium priority; avoid broad duplication.,Medium
Chhatrapati Sambhajinagar / Aurangabad,Maharashtra,industrial corridor and engineering belt,Stainless Steel,Carbon Steel | Aluminium,"pipes, plates, sheets, rods","SS 304, SS 316L, Aluminium 6061",yes: /locations/chhatrapati-sambhajinagar-aurangabad.html,city combo pages,Existing page supports later combo pages.,Medium
Nagpur / Butibori,Maharashtra,central India engineering and logistics cluster,Stainless Steel,Carbon Steel,"plates, pipes, angles, channels","SS 304, SS 316, Carbon Steel",partial: /locations/nagpur.html,city combo pages,Medium priority due to regional hub value.,Medium
Ahmedabad,Gujarat,"engineering, pharma and chemicals supply belt",Stainless Steel,Nickel Alloys | Duplex & Super Duplex | Carbon Steel,"pipes, plates, sheets, flanges, fittings","SS 316L, Hastelloy C276, Inconel 625",yes: /locations/ahmedabad.html,city combo pages,High value for SS and corrosion-service alloys.,High
Sanand,Gujarat,auto and industrial corridor cluster,Stainless Steel,Carbon Steel | Aluminium,"sheets, plates, rods, fasteners","SS 304, Aluminium 6061",partial: /locations/dholera-sanand.html,combo pages under Dholera/Sanand,Covered by Dholera/Sanand page; avoid stand-alone until demand is proven.,Medium
Vadodara,Gujarat,"chemical, engineering and project supply belt",Stainless Steel,Duplex & Super Duplex | Nickel Alloys,"flanges, fittings, pipes, plates","SS 316L, Duplex 2205, Super Duplex 2507",yes: /locations/vadodara.html,city combo pages,Strong for flanges/fittings and corrosion-service content.,High
Surat,Gujarat,"fabrication, textile, chemical and process equipment region",Stainless Steel,Carbon Steel | Aluminium,"coils, sheets, plates, pipes","SS 304, SS 316, SS 430",yes: /locations/surat.html,city combo pages,High for stainless coil/sheet pages.,High
Hazira,Gujarat,"port, heavy engineering and process belt",Stainless Steel,Duplex & Super Duplex | Carbon Steel,"plates, pipes, flanges, fittings","SS 316L, Duplex 2205, Super Duplex 2507",no existing city page,combo pages after local hub decision,No existing city page; use only strong combo pages.,Medium
Ankleshwar,Gujarat,chemical and process industry cluster,Stainless Steel,Nickel Alloys | Duplex & Super Duplex,"pipes, welded pipes, sheets, fittings","SS 316L, Hastelloy C276, Duplex 2205",yes: /locations/ankleshwar.html,city combo pages,High value but avoid unsupported stock wording.,High
Bharuch,Gujarat,"chemical, port-linked and process supply belt",Stainless Steel,Nickel Alloys | Duplex & Super Duplex,"pipes, plates, flanges, fittings","SS 316L, Inconel 625, Duplex 2205",yes: /locations/bharuch.html,city combo pages,Strong for process equipment RFQs.,High
Rajkot,Gujarat,"engineering, casting-adjacent and machine-tool cluster",Stainless Steel,High Speed Steel | Brass,"round bars, rods, flats, sheets","SS 410, SS 420, HSS M2, Brass",yes: /locations/rajkot.html,city combo pages,Strong HSS and bar/rod opportunity.,High
Jamnagar,Gujarat,"brass, refinery-adjacent and marine supply belt",Brass,Stainless Steel | Nickel Alloys,"rods, sheets, fittings, tubes","Brass C360, SS 316L, Monel 400",yes: /locations/jamnagar.html,city combo pages,Keep claims general and buyer-led.,Medium
Vapi,Gujarat,chemical and process industry belt,Stainless Steel,Nickel Alloys | Duplex & Super Duplex,"pipes, sheets, fittings, flanges","SS 316L, Hastelloy C276, Duplex 2205",yes: /locations/vapi.html,city combo pages,Good process-industry content fit.,High
Chennai,Tamil Nadu,"auto, marine, process and engineering hub",Stainless Steel,Duplex & Super Duplex | High Speed Steel | Aluminium,"welded pipes, perforated sheets, plates, rods","SS 304, SS 316L, Duplex 2205, HSS M42",yes: /locations/chennai.html,city combo pages,High priority; existing location page supports internal linking.,High
Sriperumbudur,Tamil Nadu,auto and electronics industrial cluster,Stainless Steel,Aluminium | High Speed Steel,"sheets, plates, fasteners, rods","SS 304, Aluminium 6061, HSS M2",partial: /locations/sriperumbudur-oragadam.html,combo pages under Sriperumbudur/Oragadam,Covered by existing combined page.,Medium
Oragadam,Tamil Nadu,auto and engineering cluster,Stainless Steel,Aluminium | High Speed Steel,"sheets, plates, rods, fasteners","SS 304, Aluminium 6061, HSS M42",partial: /locations/sriperumbudur-oragadam.html,combo pages under Sriperumbudur/Oragadam,Covered by existing combined page.,Medium
Coimbatore,Tamil Nadu,"machine-tool, pump, engineering and textile equipment hub",Stainless Steel,High Speed Steel | Aluminium | Brass,"sheets, flats, rods, round bars","SS 304, HSS M2, HSS M35, Aluminium 6061",yes: /locations/coimbatore.html,city combo pages,High HSS and SS opportunity.,High
Hosur,Tamil Nadu,"auto, engineering and industrial supply cluster",Stainless Steel,High Speed Steel | Aluminium,"tubes, rods, sheets, plates","SS 304, SS 316, HSS M2",yes: /locations/hosur.html,city combo pages,Good support page for Bengaluru/TN belt.,Medium
Salem,Tamil Nadu,steel and engineering supply cluster,Stainless Steel,Carbon Steel,"bars, rods, sheets, plates","SS 304, SS 316, Carbon Steel",yes: /locations/salem.html,city combo pages,Good medium priority; avoid broad steel-only page.,Medium
Tiruchirappalli / Trichy,Tamil Nadu,engineering and heavy-equipment supply belt,Stainless Steel,Carbon Steel | Duplex & Super Duplex,"plates, pipes, fittings, flanges","SS 304, SS 316L, Duplex 2205",partial: /locations/tiruchirappalli.html,city combo pages,Medium priority with project RFQ angle.,Medium
Bengaluru,Karnataka,"aerospace, engineering, machine-tool and precision supply hub",Stainless Steel,High Speed Steel | Nickel Alloys | Aluminium,"plates, rods, round bars, bars","SS 304, Inconel 718, HSS M2, Aluminium 6061",yes: /locations/bengaluru.html,city combo pages,"High priority for HSS, SS and nickel alloy bars.",High
Peenya,Karnataka,machine-tool and engineering cluster,High Speed Steel,Stainless Steel | Nickel Alloys,"round bars, rods, flats, tool steel bars","HSS M2, HSS M35, SS 304, Inconel 718",no existing city page,combo page after cluster-page decision,No separate existing page; use Bengaluru internal link context.,High
Bommasandra,Karnataka,engineering and industrial belt,Stainless Steel,Aluminium | High Speed Steel,"sheets, plates, rods","SS 304, Aluminium 6061, HSS M2",no existing city page,combo page after local hub decision,No existing page; medium unless search demand is validated.,Medium
Mysuru,Karnataka,engineering and industrial supply cluster,Stainless Steel,Aluminium | Brass,"sheets, plates, rods","SS 304, Aluminium 6061, Brass",yes: /locations/mysuru.html,city combo pages,Medium priority.,Medium
Mangaluru,Karnataka,"port, marine and process belt",Stainless Steel,Duplex & Super Duplex | Nickel Alloys,"pipes, plates, fittings, flanges","SS 316L, Duplex 2205, Monel 400",yes: /locations/mangaluru.html,city combo pages,Strong marine/process angle; existing page supports links.,Medium
Hyderabad,Telangana,"pharma, process, precision and engineering hub",Stainless Steel,Nickel Alloys | High Speed Steel,"sheets, pipes, rods, round bars","SS 316, SS 316L, Inconel 625, HSS M2",yes: /locations/hyderabad.html,city combo pages,High priority for SS 316/316L and nickel alloy bars.,High
Secunderabad,Telangana,industrial and distribution extension of Hyderabad,Stainless Steel,Carbon Steel | Aluminium,"fittings, rods, sheets","SS 304, SS 316L, Aluminium 6061",no existing city page,combo page after local hub decision,No existing page; avoid overlap unless distinct demand is proven.,Low
