url,page_family,title,h1,meta_description,status,primary_keyword,secondary_keywords,schema_types,faq_present,breadcrumb_present,rfq_cta_present,internal_link_notes,image_status,design_score,seo_score,aeo_score,eeat_score,conversion_score,priority,recommended_action,notes
https://rubinoxmetal.com/,Home,"Stainless Steel Supplier in Mumbai, India | Rubinox","Stainless Steel Supplier, Stockist & Exporter in Mumbai, India | Nickel Alloy & Duplex Metals","Rubinox is a Mumbai stockist and supplier of stainless steel, nickel alloys, duplex, titanium and industrial metals across India and worldwide.",representative scored,"Stainless Steel Supplier in Mumbai, India",,Answer; ContactPoint; FAQPage; ImageObject; LocalBusiness; Organization; PostalAddress; Question; WebPage; WebSite,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,8,8.5,7.8,7.6,8.2,P1,Homepage buyer journey polish,Representative scoring based on latest site-wide design analysis.
https://rubinoxmetal.com/about-us.html,Company / trust,About Rubinox Metal and Alloys | Industrial Metal Supplier in India,About Rubinox Metal and Alloys,"Learn about Rubinox Metal and Alloys, a Mumbai-based stockist, supplier, importer, exporter and project supplier for stainless steel, nickel alloys and industrial metals.",needs detailed scoring,About,,Answer; BreadcrumbList; FAQPage; ListItem; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Wait for owner-approved trust assets,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/industries.html,Industries hub,Industries We Serve | Industrial Metal Supplier | Rubinox,Industries We Serve,"Metals for oil and gas, chemical, marine, power, fabrication and infrastructure projects. PAN India supply, export support and fast quotations.",polished in Batch 8,Industries We Serve,,Answer; BreadcrumbList; FAQPage; ListItem; Question; WebPage,yes,yes,yes,"Batch 8 added grouped industry RFQ pathways, material/grade/product-form links, Knowledge Hub links, technical/documentation links, safe location/export routing and quotation CTAs; preserve canonical/internal links unless task-specific.",image or visual asset referenced,8,8.1,7.8,7.3,8.4,P2,Monitor industry hub performance; create individual industry pages only after query/enquiry evidence,"Batch 8 improved the existing industries hub only; no new industry URLs, sitemap URLs, H1 intent, title/meta/canonical targets or schema meaning changed."
https://rubinoxmetal.com/quotation.html,RFQ page,Request Metal Quotation | Industrial Metals RFQ | Rubinox,Request an Industrial Metal Quotation,"Send an RFQ to Rubinox for stainless steel, nickel alloys, duplex, titanium and industrial metals. Share grade, form, size, quantity, standard, documentation and delivery details.",representative scored,Request Metal Quotation,,Answer; BreadcrumbList; FAQPage; ListItem; Organization; Question; WebPage; WebSite,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,7.8,8.2,7.2,7.5,8.6,P1,RFQ conversion tracking and form backend planning,Representative scoring based on latest site-wide design analysis.
https://rubinoxmetal.com/contact.html,Contact page,"Contact Rubinox Metal and Alloys | Metal Supplier in Mumbai, India",Contact Rubinox Metal and Alloys,"Contact Rubinox Metal and Alloys in Mumbai for stainless steel, nickel alloys, duplex, titanium, SMO 254 and industrial metal RFQs with PAN India and export enquiry support.",representative scored,Contact,,Answer; BreadcrumbList; ContactPage; FAQPage; ListItem; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,7.8,8,7.2,7.2,8,P2,Contact trust assets after owner approval,Representative scoring based on latest site-wide design analysis.
https://rubinoxmetal.com/locations.html,Location pages,PAN India Metal Supply Locations | Rubinox Metal and Alloys,PAN India Metal Supply Locations,"Rubinox Metal and Alloys supports PAN India RFQs for stainless steel, duplex, nickel alloys, titanium, SMO 254, aluminium, copper, brass, carbon steel, mild steel and industrial metal products.",improved in Batch 5,PAN India Metal Supply Locations,,Answer; BreadcrumbList; FAQPage; ListItem; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P2,Monitor location hub clustering and expand only from GSC/enquiry evidence,"Batch 5 polished the existing location hub with priority clusters and RFQ internal links; no new URL, canonical or sitemap change."
https://rubinoxmetal.com/export.html,Export pages,Metal Export Enquiry Support from India | Rubinox Metal and Alloys,Metal Export Enquiry Support from India,"Rubinox Metal and Alloys supports export RFQs from India for stainless steel, duplex, nickel alloys, titanium, SMO 254, aluminium, copper, brass, carbon steel, mild steel and industrial metal products.",needs detailed scoring,Metal Export Enquiry Support from India,,Answer; BreadcrumbList; FAQPage; ListItem; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P2,Differentiate safely without fake local/export claims,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/stainless-steel.html,Material family pages,Stainless Steel Supplier in India | Grades & Forms | Rubinox,Stainless Steel Supplier in India,"Stainless steel supplier for 200, 300 and 400 series, duplex, PH and specialty grades in pipes, plates, sheets, coils, bars and fittings.",Batch 9 polished,Stainless Steel Supplier in India,,Answer; BreadcrumbList; FAQPage; ListItem; Organization; Product; PropertyValue; Question; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Batch 9 polished,"Batch 9 added material family RFQ pathways, grade/spec/product/resource links and documentation routing; SEO URL, canonical, H1, title/meta, schema meaning and sitemap URL preserved."
https://rubinoxmetal.com/materials/stainless-steel-supplier-mumbai.html,Grade / specification pages,Stainless Steel Supplier Mumbai | SS 304 & 316 | Rubinox,"Stainless Steel Supplier, Dealer & Stockist in Mumbai","Mumbai stainless steel stockist supplying SS 304, 316 and 316L pipes, sheets, plates, coils, bars, flanges and fittings across India.",needs detailed scoring,Stainless Steel Supplier Mumbai,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
https://rubinoxmetal.com/materials/ss-201-supplier-india.html,Grade / specification pages,SS 201 Supplier in India | Rubinox,SS 201 Supplier in India,"Rubinox supplies SS 201 stainless steel sheets, coils, plates, strips, pipes, tubes across India, with export support, MTC documentation and fast quotations.",needs detailed scoring,SS 201 Supplier in India,,BreadcrumbList; ListItem; Organization; Product; PropertyValue; WebPage,yes,yes,yes,Mapped from sitemap and local HTML; preserve canonical/internal links unless task-specific.,image or visual asset referenced,,,,,,P3,Use pilot before broad template changes,Complete URL/family mapping done; detailed scoring deferred to page-family audit batch.
