priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,status,notes
1,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Mumbai,Maharashtra,,/material-location/ss-304-fittings-mumbai.html,SS 304 Fittings Supplier in Mumbai,ss 304 fittings supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
2,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Pune,Maharashtra,,/material-location/ss-304-fittings-pune.html,SS 304 Fittings Supplier in Pune,ss 304 fittings supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
3,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Ahmedabad,Gujarat,,/material-location/ss-304-fittings-ahmedabad.html,SS 304 Fittings Supplier in Ahmedabad,ss 304 fittings supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
4,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Bengaluru,Karnataka,,/material-location/ss-304-fittings-bengaluru.html,SS 304 Fittings Supplier in Bengaluru,ss 304 fittings supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
5,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-fittings-chakan-pimpri-chinchwad.html,SS 304 Fittings Supplier in Chakan and Pimpri-Chinchwad,ss 304 fittings supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
6,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Chennai,Tamil Nadu,,/material-location/ss-304-fittings-chennai.html,SS 304 Fittings Supplier in Chennai,ss 304 fittings supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
7,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Hyderabad,Telangana,,/material-location/ss-304-fittings-hyderabad.html,SS 304 Fittings Supplier in Hyderabad,ss 304 fittings supplier in hyderabad,material-form-city RFQ support,"pharma, laboratory, chemical, precision fabrication and engineering buyers",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
8,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Vadodara,Gujarat,,/material-location/ss-304-fittings-vadodara.html,SS 304 Fittings Supplier in Vadodara,ss 304 fittings supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
9,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Ankleshwar,Gujarat,,/material-location/ss-304-fittings-ankleshwar.html,SS 304 Fittings Supplier in Ankleshwar,ss 304 fittings supplier in ankleshwar,material-form-city RFQ support,"chemical, process equipment and maintenance buyer enquiries",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
10,stainless_india,india_city,material-location,Stainless Steel,SS 304,Fittings,Delhi NCR,Delhi NCR,,/material-location/ss-304-fittings-delhi.html,SS 304 Fittings Supplier in Delhi NCR,ss 304 fittings supplier in delhi ncr,material-form-city RFQ support,"trading, fabrication, infrastructure support and engineering procurement",none,low,96,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
